Title,Company,Location,Apply
b'Business Analyst - Risk assessment',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/business-analyst-risk-assessment-at-infosys-3557706279?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=DzFHccOAb5jPqb5FjQbEkg%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Data Scientist',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/data-scientist-at-infosys-3547314074?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=gh236v5KHJ6cNIJCubvgBA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'React JS Developer',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/react-js-developer-at-infosys-3551208349?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=b%2F%2FxORwHI1a6fHNevcqBiw%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Talent Acquisition Operations | 1 to 3 years | Kolkata',b'Capgemini',b'Greater Kolkata Area',b'https://in.linkedin.com/jobs/view/talent-acquisition-operations-1-to-3-years-kolkata-at-capgemini-3542765973?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=7dnEiS3OJaacGh%2BHph%2B7yQ%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Vendor Operations Manager',b'Google',"b'Bengaluru, Karnataka, India'",b'https://in.linkedin.com/jobs/view/vendor-operations-manager-at-google-3566639792?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=M7slcXfW9NmFV5v1wGkCgA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Aerospace Engineer',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/aerospace-engineer-at-infosys-3553169206?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=x1rUI6jW%2F7ddqSgmUPephA%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'HR Operations (HRO) | 1 to 3 years | Bangalore',b'Capgemini',"b'Bengaluru, Karnataka, India'",b'https://in.linkedin.com/jobs/view/hr-operations-hro-1-to-3-years-bangalore-at-capgemini-3580196805?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=BiR8v80I63RGSUGKskzbhQ%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Aerospace Engineer',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/aerospace-engineer-at-infosys-3553171117?refId=I56o7gQ06435i%2F1EXq7K%2Bw%3D%3D&trackingId=M124IUFiI%2Btw6Erpnk%2BF3w%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card'
b'Information Technology Specialist',b'Capgemini',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/information-technology-specialist-at-capgemini-3576898743?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=5EvKmEy4HqurgVw0kS%2FEvw%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card'
"b'Legal Counsel, Regulatory and Investigations'",b'Google',"b'Gurgaon, Haryana, India'",b'https://in.linkedin.com/jobs/view/legal-counsel-regulatory-and-investigations-at-google-3553581066?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=bV4MPK7RfN0JlMlFzctUMg%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Invoice Processing TL',b'Capgemini',"b'Bengaluru, Karnataka, India'",b'https://in.linkedin.com/jobs/view/invoice-processing-tl-at-capgemini-3581116275?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=2uE1OFiV3NM30ZPeUfN6EQ%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Programmer/Developer',b'Capgemini',"b'Pune, Maharashtra, India'",b'https://in.linkedin.com/jobs/view/programmer-developer-at-capgemini-3517487671?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=lKzq8mcDd0%2FufLSarNizig%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'SAP MM Consultant',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/sap-mm-consultant-at-infosys-3548661684?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=t%2B9tdLVI5%2FDKl6jzXNpVGA%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'*Senior Research Analyst',b'Capgemini',"b'Kolkata, West Bengal, India'",b'https://in.linkedin.com/jobs/view/senior-research-analyst-at-capgemini-3517186706?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=NIWUIUk6ZoQtjibvibI3Sw%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card'
"b'Program Manager, Supply Chain Risk Management'",b'Google',"b'Bengaluru, Karnataka, India'",b'https://in.linkedin.com/jobs/view/program-manager-supply-chain-risk-management-at-google-3569241779?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=mMh2wPl1g5r0izC5e4F6Zw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'IT Testing',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/it-testing-at-infosys-3557701745?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=4yQt4hckqzrOiG%2BHRF9JUA%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Transaction Risk Investigator',b'Accenture',"b'Bengaluru, Karnataka, India'",b'https://in.linkedin.com/jobs/view/transaction-risk-investigator-at-accenture-3562209092?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=%2BaIM84xvRMLwCOJVXzNJCQ%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Technology Analyst',b'Infosys',"b'Mysore, Karnataka, India'",b'https://in.linkedin.com/jobs/view/technology-analyst-at-infosys-3426265651?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=szvdqEWr6yGbh4sOC3%2FjhQ%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Java Developer',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/java-developer-at-infosys-3553166414?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=pSzN%2FUuhVaosd4igpOVUhw%3D%3D&position=11&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Technology Analyst',b'Infosys',b'Greater Bengaluru Area',b'https://in.linkedin.com/jobs/view/technology-analyst-at-infosys-3558131448?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=%2Bjsec6nH%2BtnMG1%2FjT2PJKw%3D%3D&position=12&pageNum=1&trk=public_jobs_jserp-result_search-card'
b'Power BI Admin',b'Infosys',"b'Bengaluru East, Karnataka, India'",b'https://in.linkedin.com/jobs/view/power-bi-admin-at-infosys-3568711181?refId=vdkKtAt2H9ZOqsymw3rWJg%3D%3D&trackingId=1BpZ9695ReKs7B0jrQVDFw%3D%3D&position=13&pageNum=1&trk=public_jobs_jserp-result_search-card'
