Heading,Company,location,description,Vacancy Link,Experience Needed,Salary,skills
Ui Developer,Oracle,Chennai,"Classic ASP, .NET, MVC, .NET Core, JavaScript, Bootstrap, Web API skills are good to ha...",https://www.naukri.com/job-listings-ui-developer-oracle-pune-chennai-bangalore-bengaluru-mumbai-all-areas-1-to-5-years-020523004595,1-5 Yrs,Not disclosed,"[CSS, UI Development, HTML, javascript, cs, ui, bootstrap, blazor]"
Professional / Technical Fixed Term,Tata Motors Finance,Chennai,"Experience in interface of SAP, p-first system, MS Excel . Hands on experience on Micro...",https://www.naukri.com/job-listings-professional-technical-fixed-term-tata-motors-limted-kolkata-mumbai-new-delhi-hyderabad-secunderabad-pune-chennai-bangalore-bengaluru-1-to-4-years-270423502723,1-4 Yrs,Not disclosed,"[technical, translation, analytical skills, excel, fix, analytical, powerpoint, sap]"
